id_family,Family
1236,Theraphosidae
1237,Theraphosidae
1238,Scarabaeidae
1239,Nymphalidae
1240,Nymphalidae
1241,Nymphalidae
1242,Papilionidae
1243,Unionidae
1244,Strombidae
1245,Cepolidae
1246,Cepolidae
1247,Cepolidae
1248,Cepolidae
1249,Cepolidae
1250,Cepolidae
1251,Antipathidae
1252,Antipathidae
1253,Antipathidae
1254,Antipathidae
1255,Antipathidae
1256,Antipathidae
1257,Antipathidae
1258,Antipathidae
1259,Antipathidae
1260,Antipathidae
1261,Antipathidae
1262,Antipathidae
1263,Antipathidae
1264,Antipathidae
1265,Antipathidae
1266,Antipathidae
1267,Antipathidae
1268,Antipathidae
1269,Antipathidae
1270,Aphanipathidae
1271,Aphanipathidae
1272,Aphanipathidae
1273,Aphanipathidae
1274,Aphanipathidae
1275,Aphanipathidae
1276,Aphanipathidae
1277,Aphanipathidae
1278,Cladopathidae
1279,Cladopathidae
1280,Cladopathidae
1281,Cladopathidae
1282,Cladopathidae
1283,Leiopathidae
1284,Myriopathidae
1285,Myriopathidae
1286,Myriopathidae
1287,Myriopathidae
1288,Myriopathidae
1289,Myriopathidae
1290,Myriopathidae
1291,Myriopathidae
1292,Myriopathidae
1293,Schizopathidae
1294,Schizopathidae
1295,Schizopathidae
1296,Schizopathidae
1297,Schizopathidae
1298,Schizopathidae
1299,Schizopathidae
1300,Stylopathidae
1301,Stylopathidae
1302,Stylopathidae
1303,Stylopathidae
1304,Stylopathidae
1305,Stylopathidae
1306,Acroporidae
1307,Acroporidae
1308,Acroporidae
1309,Acroporidae
1310,Agariciidae
1311,Agariciidae
1312,Agariciidae
1313,Agariciidae
1314,Agariciidae
1315,Agariciidae
1316,Agariciidae
1317,Agariciidae
1318,Agariciidae
1319,Agariciidae
1320,Agariciidae
1321,Agariciidae
1322,Agariciidae
1323,Agariciidae
1324,Agariciidae
1325,Agariciidae
1326,Agariciidae
1327,Agariciidae
1328,Agariciidae
1329,Agariciidae
1330,Agariciidae
1331,Agariciidae
1332,Agariciidae
1333,Agariciidae
1334,Anthemiphylliidae
1335,Astrocoeniidae
1336,Caryophylliidae
1337,Caryophylliidae
1338,Caryophylliidae
1339,Caryophylliidae
1340,Caryophylliidae
1341,Caryophylliidae
1342,Caryophylliidae
1343,Caryophylliidae
1344,Caryophylliidae
1345,Caryophylliidae
